epoch,train_loss,train_acc,valid_loss,valid_acc,time_sec
1,6.5703,0.2064,6.3323,0.6679,49.2
2,5.9799,0.6798,5.6999,1.145,48.4
3,5.5144,1.8451,5.3437,2.7672,49.6
4,5.0899,3.9087,4.7291,5.8206,50.7
5,4.5867,7.5868,4.3476,10.2099,53.3
